Date,Plant,ProductionLine,ProductionShift,ProductType,BottlesProduced,BottlesDamaged,BottlesFilled,Warehouse,UnitsDispatched,DispatchRegion,TransportMode,SalesChannel,RevenueAED,CostAED,MachineDowntimeMin,EnergyConsumptionkWh,WaterUsageLiters,TemperatureC
1/1/2024,Abu Dhabi Main,Line B,Morning,330ml,4309,108,4201,Khalifa City,2424,Dubai,Third-party Logistics,Retail,3393.6,1707.6,7,87.29,6474.16,23.7
1/1/2024,Abu Dhabi Main,Line B,Morning,500ml,5190,105,5085,Khalifa City,3032,Abu Dhabi,Company Truck,Wholesale,5457.6,2739.3,6,107.34,7735.72,22.5
1/1/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,530,4,526,Khalifa City,286,Dubai,Third-party Logistics,Wholesale,5720,3432.4,5,16.22,7947.3,21.8
1/1/2024,Abu Dhabi Main,Line B,Evening,330ml,4583,88,4495,Mussafah,2598,Abu Dhabi,Contractor,Online,3637.2,1827.4,3,76.03,6843.66,22.1
1/1/2024,Abu Dhabi Main,Line B,Evening,500ml,2583,73,2510,Mussafah,1472,Abu Dhabi,Third-party Logistics,Online,2649.6,1332.1,3,70.42,3917.14,22.9
1/1/2024,Abu Dhabi Main,Line B,Night,5 Gallon,980,9,971,Mussafah,529,Other UAE,Company Truck,Wholesale,10580,6348.9,14,47.2,14692.3,22.4
1/1/2024,Abu Dhabi Main,Line B,Night,330ml,2419,27,2392,Mussafah,1382,Dubai,Company Truck,Wholesale,1934.8,970.1,8,48.49,3663.77,20.9
1/1/2024,Abu Dhabi Main,Line B,Night,500ml,2932,62,2870,Mussafah,1672,Dubai,Company Truck,Wholesale,3009.6,1511,8,59.55,4441.47,19.9
1/1/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,719,6,713,Mussafah,383,Abu Dhabi,Contractor,Wholesale,7660,4596.6,10,19.95,10788.76,22
1/1/2024,Abu Dhabi Main,Line C,Morning,330ml,3319,88,3231,Mussafah,1870,Dubai,Contractor,Subscription,2618,1317.8,2,50.52,5016.31,22.6
1/1/2024,Abu Dhabi Main,Line C,Morning,500ml,3395,47,3348,Abu Dhabi Port,1945,Dubai,Company Truck,Subscription,3501,1755.2,5,49.93,5105.93,21.6
1/1/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,712,6,706,Mussafah,377,Abu Dhabi,Third-party Logistics,Subscription,7540,4524.6,4,37.42,10713.46,22.2
1/1/2024,Abu Dhabi Main,Line C,Evening,330ml,2147,61,2086,Mussafah,1190,Sharjah,Company Truck,Retail,1666,839.1,11,27.05,3248.51,23.3
1/1/2024,Abu Dhabi Main,Line C,Evening,500ml,4248,110,4138,Dubai Hub,2460,Abu Dhabi,Contractor,Retail,4428,2225,5,102.19,6402.22,19.7
1/1/2024,Abu Dhabi Main,Line C,Night,5 Gallon,601,4,597,Dubai Hub,325,Abu Dhabi,Third-party Logistics,Online,6500,3900.4,10,18.97,9031,21.7
1/1/2024,Abu Dhabi Main,Line C,Night,330ml,2588,59,2529,Abu Dhabi Port,1487,Sharjah,Company Truck,Subscription,2081.8,1046.8,7,38.9,3928.25,21.5
1/1/2024,Abu Dhabi Main,Line C,Night,500ml,3216,60,3156,Mussafah,1800,Abu Dhabi,Contractor,Retail,3240,1626,8,72.67,4774.17,23.9
1/1/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,1110,10,1100,Abu Dhabi Port,577,Dubai,Company Truck,Subscription,11540,6925,8,55.78,16666.69,20.8
1/1/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,3704,106,3598,Khalifa City,2085,Dubai,Company Truck,Wholesale,2919,1470.1,5,54.1,5534.69,21.7
1/1/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,4374,102,4272,Khalifa City,2497,Dubai,Company Truck,Wholesale,4494.6,2257.5,6,92.25,6520.34,23.2
1/1/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,783,4,779,Dubai Hub,423,Dubai,Contractor,Retail,8460,5076.4,7,54.6,11752.57,22.7
1/1/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,3078,31,3047,Mussafah,1759,Dubai,Company Truck,Online,2462.6,1234.4,4,69.4,4613.45,23.4
1/1/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,2384,55,2329,Abu Dhabi Port,1328,Other UAE,Third-party Logistics,Wholesale,2390.4,1200.7,7,56.45,3576.48,23.5
1/1/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,698,4,694,Abu Dhabi Port,376,Dubai,Contractor,Wholesale,7520,4512.4,8,25.88,10427.75,21.4
1/1/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,2923,38,2885,Dubai Hub,1712,Al Ain,Contractor,Retail,2396.8,1202.2,7,46.73,4376.51,24
1/1/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,4992,144,4848,Dubai Hub,2865,Sharjah,Third-party Logistics,Retail,5157,2592.9,13,109.74,7492.61,22.3
1/1/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,685,5,680,Dubai Hub,361,Dubai,Third-party Logistics,Subscription,7220,4332.5,6,53.48,10278.41,24.1
1/1/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,4058,44,4014,Khalifa City,2362,Al Ain,Company Truck,Online,3306.8,1657.8,7,72.29,6132.12,21
1/1/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,4480,103,4377,Khalifa City,2527,Abu Dhabi,Company Truck,Retail,4548.6,2284.6,3,74.65,6736.95,22.2
1/1/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,791,6,785,Mussafah,415,Dubai,Company Truck,Retail,8300,4980.6,2,42.7,11907.89,23.7
1/1/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,3272,37,3235,Khalifa City,1873,Abu Dhabi,Contractor,Online,2622.2,1314.8,7,69.46,4870.11,21.4
1/1/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,2908,57,2851,Abu Dhabi Port,1673,Dubai,Third-party Logistics,Wholesale,3011.4,1511.4,6,55.58,4385.38,23.3
1/1/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,1115,10,1105,Abu Dhabi Port,589,Sharjah,Third-party Logistics,Retail,11780,7069,9,71.02,16699.39,21.8
1/1/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,3315,54,3261,Abu Dhabi Port,1908,Dubai,Company Truck,Online,2671.2,1341,11,74.35,4950.13,21.9
1/1/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,4745,89,4656,Abu Dhabi Port,2791,Abu Dhabi,Contractor,Retail,5023.8,2520.8,10,98.16,7114.83,22.1
1/2/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,990,7,983,Mussafah,533,Dubai,Company Truck,Wholesale,10660,6396.7,4,67.54,14869.02,19.6
1/2/2024,Abu Dhabi Main,Line A,Morning,330ml,3154,37,3117,Khalifa City,1852,Abu Dhabi,Company Truck,Wholesale,2592.8,1300.1,6,48.14,4685.55,20.7
1/2/2024,Abu Dhabi Main,Line A,Morning,500ml,2805,33,2772,Abu Dhabi Port,1662,Al Ain,Company Truck,Retail,2991.6,1499.1,9,38.16,4251.61,21.7
1/2/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,907,7,900,Abu Dhabi Port,491,Abu Dhabi,Company Truck,Wholesale,9820,5892.7,7,42,13614.61,23.1
1/2/2024,Abu Dhabi Main,Line A,Evening,330ml,3492,94,3398,Abu Dhabi Port,1937,Dubai,Company Truck,Subscription,2711.8,1365.3,12,53.81,5264.27,22.4
1/2/2024,Abu Dhabi Main,Line A,Evening,500ml,2132,24,2108,Dubai Hub,1264,Dubai,Company Truck,Retail,2275.2,1140,8,34.16,3176.27,21.3
1/2/2024,Abu Dhabi Main,Line A,Night,5 Gallon,1202,8,1194,Khalifa City,652,Dubai,Third-party Logistics,Online,13040,7824.8,10,42.96,17996.59,20.4
1/2/2024,Abu Dhabi Main,Line A,Night,330ml,5000,96,4904,Dubai Hub,2897,Sharjah,Contractor,Retail,4055.8,2037.5,11,83.22,7453.99,21.8
1/2/2024,Abu Dhabi Main,Line A,Night,500ml,3803,82,3721,Abu Dhabi Port,2230,Dubai,Contractor,Retail,4014,2015.2,9,76.82,5698.72,21.3
1/2/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,589,4,585,Khalifa City,320,Abu Dhabi,Contractor,Retail,6400,3840.4,5,47.26,8866.36,22.2
1/2/2024,Abu Dhabi Main,Line B,Morning,330ml,3098,78,3020,Mussafah,1733,Dubai,Contractor,Retail,2426.2,1220.9,9,49.46,4633.18,23.4
1/2/2024,Abu Dhabi Main,Line B,Morning,500ml,1911,54,1857,Dubai Hub,1089,Abu Dhabi,Third-party Logistics,Wholesale,1960.2,985.5,1,27.79,2832.34,22.2
1/2/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,607,5,602,Abu Dhabi Port,326,Al Ain,Company Truck,Retail,6520,3912.5,6,28.62,9069.46,20.4
1/2/2024,Abu Dhabi Main,Line B,Evening,330ml,2823,72,2751,Abu Dhabi Port,1616,Sharjah,Company Truck,Retail,2262.4,1138.4,9,59.94,4284.39,22
1/2/2024,Abu Dhabi Main,Line B,Evening,500ml,4185,105,4080,Abu Dhabi Port,2401,Sharjah,Third-party Logistics,Retail,4321.8,2171.4,3,79.02,6313.1,21.7
1/2/2024,Abu Dhabi Main,Line B,Night,5 Gallon,1112,8,1104,Khalifa City,587,Al Ain,Company Truck,Wholesale,11740,7044.8,3,59.21,16716.97,23.4
1/2/2024,Abu Dhabi Main,Line B,Night,330ml,4481,100,4381,Mussafah,2576,Sharjah,Third-party Logistics,Online,3606.4,1813.2,10,84.82,6703.17,23.9
1/2/2024,Abu Dhabi Main,Line B,Night,500ml,5655,169,5486,Dubai Hub,3168,Other UAE,Contractor,Wholesale,5702.4,2868.1,10,97.12,8449.14,21.6
1/2/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,851,6,845,Khalifa City,451,Abu Dhabi,Company Truck,Online,9020,5412.6,5,47.34,12739.08,21.9
1/2/2024,Abu Dhabi Main,Line C,Morning,330ml,4079,78,4001,Khalifa City,2366,Abu Dhabi,Third-party Logistics,Subscription,3312.4,1664,6,73.55,6164.7,22.7
1/2/2024,Abu Dhabi Main,Line C,Morning,500ml,2911,57,2854,Abu Dhabi Port,1692,Dubai,Third-party Logistics,Retail,3045.6,1528.5,5,77.34,4382.32,20.9
1/2/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,573,5,568,Khalifa City,308,Dubai,Contractor,Wholesale,6160,3696.5,8,35.02,8628.83,24.7
1/2/2024,Abu Dhabi Main,Line C,Evening,330ml,3944,49,3895,Abu Dhabi Port,2230,Dubai,Company Truck,Retail,3122,1565.9,1,80.46,5963.15,22.7
1/2/2024,Abu Dhabi Main,Line C,Evening,500ml,1910,37,1873,Abu Dhabi Port,1078,Sharjah,Company Truck,Retail,1940.4,973.9,3,48.37,2837.56,23.1
1/2/2024,Abu Dhabi Main,Line C,Night,5 Gallon,836,5,831,Dubai Hub,444,Abu Dhabi,Contractor,Retail,8880,5328.5,14,37.04,12553.85,21.2
1/2/2024,Abu Dhabi Main,Line C,Night,330ml,4517,65,4452,Dubai Hub,2662,Sharjah,Company Truck,Retail,3726.8,1869.9,13,75.93,6820.13,21.2
1/2/2024,Abu Dhabi Main,Line C,Night,500ml,2114,37,2077,Dubai Hub,1223,Dubai,Contractor,Online,2201.4,1104.4,8,48.48,3204.37,25.9
1/2/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,715,5,710,Abu Dhabi Port,371,Abu Dhabi,Contractor,Wholesale,7420,4452.5,12,54.86,10710.87,21.7
1/2/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,2233,50,2183,Mussafah,1246,Dubai,Company Truck,Retail,1744.4,877.2,6,47.24,3306.36,22.7
1/2/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,3126,79,3047,Mussafah,1756,Abu Dhabi,Third-party Logistics,Subscription,3160.8,1588.3,8,64.13,4718.85,20.8
1/2/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,751,5,746,Dubai Hub,407,Dubai,Contractor,Retail,8140,4884.5,7,48.67,11266.32,20.4
1/2/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,5232,100,5132,Mussafah,2930,Other UAE,Third-party Logistics,Retail,4102,2061,5,88.96,7869.24,20.8
1/2/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,3398,52,3346,Abu Dhabi Port,1944,Abu Dhabi,Contractor,Retail,3499.2,1754.8,5,68.18,5090.02,22.7
1/2/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,1261,11,1250,Dubai Hub,680,Sharjah,Company Truck,Online,13600,8161.1,13,59,18937.96,21.4
1/2/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,2951,83,2868,Mussafah,1715,Abu Dhabi,Company Truck,Wholesale,2401,1208.8,5,71.49,4432.14,22.4
1/2/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,3548,97,3451,Dubai Hub,1973,Sharjah,Contractor,Subscription,3551.4,1785.4,9,74.98,5307.16,22.2
1/2/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,1155,8,1147,Mussafah,613,Dubai,Contractor,Online,12260,7356.8,9,71.56,17372.45,23.7
1/2/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,4770,110,4660,Mussafah,2699,Abu Dhabi,Contractor,Retail,3778.6,1900.3,3,88.99,7105.61,23.8
1/2/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,3677,70,3607,Abu Dhabi Port,2147,Dubai,Contractor,Wholesale,3864.6,1939.3,6,56.94,5470.76,20.2
1/2/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,1082,8,1074,Dubai Hub,572,Abu Dhabi,Contractor,Retail,11440,6864.8,4,51.3,16208.32,22.7
1/2/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,4492,133,4359,Khalifa City,2608,Abu Dhabi,Company Truck,Retail,3651.2,1838.9,5,80.06,6720.81,20.9
1/2/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,4267,99,4168,Dubai Hub,2456,Sharjah,Company Truck,Retail,4420.8,2220.3,9,102.19,6436.71,22.4
1/2/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,1142,6,1136,Dubai Hub,614,Sharjah,Third-party Logistics,Retail,12280,7368.6,15,70.88,17104.33,22.4
1/2/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,2681,30,2651,Khalifa City,1540,Sharjah,Company Truck,Wholesale,2156,1081,11,66.38,4053,21.4
1/2/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,2585,65,2520,Dubai Hub,1506,Al Ain,Contractor,Wholesale,2710.8,1361.9,7,58.95,3915.7,21.3
1/3/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,970,6,964,Mussafah,528,Abu Dhabi,Company Truck,Retail,10560,6336.6,7,61.77,14507.67,22.5
1/3/2024,Abu Dhabi Main,Line A,Morning,330ml,5302,131,5171,Khalifa City,3096,Abu Dhabi,Company Truck,Retail,4334.4,2180.3,11,88.51,7913.35,23.3
1/3/2024,Abu Dhabi Main,Line A,Morning,500ml,3734,40,3694,Dubai Hub,2137,Dubai,Contractor,Retail,3846.6,1927.3,4,91.4,5589.74,23.8
1/3/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,607,3,604,Dubai Hub,330,Abu Dhabi,Contractor,Wholesale,6600,3960.3,8,46.6,9142.33,21.2
1/3/2024,Abu Dhabi Main,Line A,Evening,330ml,2899,67,2832,Khalifa City,1642,Dubai,Third-party Logistics,Retail,2298.8,1156.1,12,53.05,4377.67,24
1/3/2024,Abu Dhabi Main,Line A,Evening,500ml,5150,53,5097,Khalifa City,3010,Abu Dhabi,Contractor,Retail,5418,2714.3,6,123,7690.49,20
1/3/2024,Abu Dhabi Main,Line A,Night,5 Gallon,933,6,927,Khalifa City,500,Abu Dhabi,Contractor,Wholesale,10000,6000.6,13,62.76,14017.12,20.5
1/3/2024,Abu Dhabi Main,Line A,Night,330ml,4466,70,4396,Dubai Hub,2538,Abu Dhabi,Company Truck,Subscription,3553.2,1783.6,14,100.69,6739.4,20
1/3/2024,Abu Dhabi Main,Line A,Night,500ml,5139,80,5059,Dubai Hub,2977,Other UAE,Third-party Logistics,Online,5358.6,2687.3,9,88.32,7683.5,24.3
1/3/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,1069,6,1063,Dubai Hub,579,Sharjah,Company Truck,Retail,11580,6948.6,4,71.31,16007.2,21.8
1/3/2024,Abu Dhabi Main,Line B,Morning,330ml,2047,35,2012,Mussafah,1183,Abu Dhabi,Company Truck,Subscription,1656.2,831.6,1,54.51,3085.5,22.7
1/3/2024,Abu Dhabi Main,Line B,Morning,500ml,3692,98,3594,Dubai Hub,2074,Al Ain,Company Truck,Retail,3733.2,1876.4,8,64.08,5571.5,22.4
1/3/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,997,6,991,Khalifa City,541,Al Ain,Contractor,Retail,10820,6492.6,9,34.28,14995.51,22.2
1/3/2024,Abu Dhabi Main,Line B,Evening,330ml,4335,68,4267,Abu Dhabi Port,2559,Abu Dhabi,Company Truck,Wholesale,3582.6,1798.1,4,70.12,6549.97,20.1
1/3/2024,Abu Dhabi Main,Line B,Evening,500ml,4566,47,4519,Mussafah,2593,Dubai,Third-party Logistics,Retail,4667.4,2338.4,3,71.97,6877.85,20.8
1/3/2024,Abu Dhabi Main,Line B,Night,5 Gallon,1012,9,1003,Abu Dhabi Port,547,Dubai,Third-party Logistics,Retail,10940,6564.9,7,61.77,15176.46,23.1
1/3/2024,Abu Dhabi Main,Line B,Night,330ml,2520,27,2493,Mussafah,1480,Abu Dhabi,Company Truck,Retail,2072,1038.7,15,63.02,3777.34,18.8
1/3/2024,Abu Dhabi Main,Line B,Night,500ml,2442,30,2412,Dubai Hub,1420,Dubai,Third-party Logistics,Retail,2556,1281,12,67.79,3662.62,21.9
1/3/2024,Abu Dhabi Main,Line C,Morning,5 Gallon,999,7,992,Khalifa City,533,Dubai,Company Truck,Retail,10660,6396.7,2,56.39,14965.65,22.4
1/3/2024,Abu Dhabi Main,Line C,Morning,330ml,4724,115,4609,Dubai Hub,2639,Abu Dhabi,Third-party Logistics,Subscription,3694.6,1858.8,3,77.48,7099.75,20.6
1/3/2024,Abu Dhabi Main,Line C,Morning,500ml,5848,109,5739,Khalifa City,3421,Dubai,Company Truck,Retail,6157.8,3089.8,5,119.65,8782.51,20.9
1/3/2024,Abu Dhabi Main,Line C,Evening,5 Gallon,1012,7,1005,Mussafah,545,Abu Dhabi,Company Truck,Wholesale,10900,6540.7,5,67.14,15141.78,23.9
1/3/2024,Abu Dhabi Main,Line C,Evening,330ml,3362,41,3321,Dubai Hub,1907,Abu Dhabi,Contractor,Subscription,2669.8,1339,5,79.66,5089.76,23
1/3/2024,Abu Dhabi Main,Line C,Evening,500ml,3627,73,3554,Khalifa City,2119,Dubai,Company Truck,Retail,3814.2,1914.4,5,66.98,5447.73,18.1
1/3/2024,Abu Dhabi Main,Line C,Night,5 Gallon,641,4,637,Dubai Hub,332,Dubai,Contractor,Online,6640,3984.4,7,15,9662.24,22.5
1/3/2024,Abu Dhabi Main,Line C,Night,330ml,4804,127,4677,Khalifa City,2728,Dubai,Company Truck,Wholesale,3819.2,1922.3,15,110.81,7239.14,22.1
1/3/2024,Abu Dhabi Main,Line C,Night,500ml,2328,39,2289,Abu Dhabi Port,1308,Sharjah,Company Truck,Wholesale,2354.4,1181.1,10,48.59,3454.52,21.1
1/3/2024,Abu Dhabi Main,Bottling Line 1,Morning,5 Gallon,1056,8,1048,Abu Dhabi Port,571,Sharjah,Contractor,Online,11420,6852.8,5,33.93,15794.55,22.7
1/3/2024,Abu Dhabi Main,Bottling Line 1,Morning,330ml,4017,89,3928,Abu Dhabi Port,2353,Dubai,Company Truck,Retail,3294.2,1656,4,92.63,6016.11,21.7
1/3/2024,Abu Dhabi Main,Bottling Line 1,Morning,500ml,2583,36,2547,Abu Dhabi Port,1481,Sharjah,Company Truck,Subscription,2665.8,1336.5,8,45.47,3864.37,23.1
1/3/2024,Abu Dhabi Main,Bottling Line 1,Evening,5 Gallon,583,4,579,Mussafah,314,Abu Dhabi,Third-party Logistics,Online,6280,3768.4,5,25.88,8791.27,21.2
1/3/2024,Abu Dhabi Main,Bottling Line 1,Evening,330ml,3875,77,3798,Dubai Hub,2268,Dubai,Third-party Logistics,Retail,3175.2,1595.3,4,71.62,5767.55,21.9
1/3/2024,Abu Dhabi Main,Bottling Line 1,Evening,500ml,4911,49,4862,Khalifa City,2901,Sharjah,Contractor,Wholesale,5221.8,2615.8,3,92.86,7356.56,22.2
1/3/2024,Abu Dhabi Main,Bottling Line 1,Night,5 Gallon,1021,7,1014,Mussafah,542,Abu Dhabi,Company Truck,Retail,10840,6504.7,5,70.52,15320.78,21.7
1/3/2024,Abu Dhabi Main,Bottling Line 1,Night,330ml,4483,48,4435,Abu Dhabi Port,2642,Sharjah,Contractor,Retail,3698.8,1854.2,13,105.39,6688.48,23.3
1/3/2024,Abu Dhabi Main,Bottling Line 1,Night,500ml,3384,89,3295,Abu Dhabi Port,1924,Al Ain,Company Truck,Retail,3463.2,1740.5,6,52.06,5067.65,24.1
1/3/2024,Abu Dhabi Main,Bottling Line 2,Morning,5 Gallon,1008,9,999,Khalifa City,528,Dubai,Contractor,Retail,10560,6336.9,7,55.56,15131.97,22.8
1/3/2024,Abu Dhabi Main,Bottling Line 2,Morning,330ml,4193,100,4093,Dubai Hub,2432,Abu Dhabi,Company Truck,Wholesale,3404.8,1712.4,5,80.28,6317,22.5
1/3/2024,Abu Dhabi Main,Bottling Line 2,Morning,500ml,2587,77,2510,Dubai Hub,1469,Abu Dhabi,Company Truck,Subscription,2644.2,1329.8,3,45.43,3865.93,24
1/3/2024,Abu Dhabi Main,Bottling Line 2,Evening,5 Gallon,1215,9,1206,Abu Dhabi Port,631,Dubai,Company Truck,Subscription,12620,7572.9,4,52.65,18203.9,20
1/3/2024,Abu Dhabi Main,Bottling Line 2,Evening,330ml,3266,93,3173,Abu Dhabi Port,1835,Abu Dhabi,Contractor,Retail,2569,1293.8,11,84.53,4930.84,21.4
1/3/2024,Abu Dhabi Main,Bottling Line 2,Evening,500ml,5550,79,5471,Abu Dhabi Port,3146,Sharjah,Contractor,Retail,5662.8,2839.3,7,115.63,8333.68,20.4
1/3/2024,Abu Dhabi Main,Bottling Line 2,Night,5 Gallon,998,6,992,Dubai Hub,536,Abu Dhabi,Contractor,Retail,10720,6432.6,13,51.91,15012.91,19.1
1/3/2024,Abu Dhabi Main,Bottling Line 2,Night,330ml,3925,114,3811,Mussafah,2249,Sharjah,Company Truck,Wholesale,3148.6,1585.7,6,79.91,5909.81,23.7
1/3/2024,Abu Dhabi Main,Bottling Line 2,Night,500ml,2992,82,2910,Mussafah,1720,Abu Dhabi,Contractor,Retail,3096,1556.2,13,79.16,4466.46,21.8
1/4/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,1011,6,1005,Dubai Hub,548,Dubai,Contractor,Retail,10960,6576.6,8,44.03,15144.5,22.4
1/4/2024,Abu Dhabi Main,Line A,Morning,330ml,5127,60,5067,Khalifa City,2938,Other UAE,Company Truck,Subscription,4113.2,2062.6,8,82.81,7678.86,21.9
1/4/2024,Abu Dhabi Main,Line A,Morning,500ml,2857,29,2828,Khalifa City,1641,Abu Dhabi,Company Truck,Retail,2953.8,1479.8,9,53.36,4285.75,21.6
1/4/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,785,7,778,Dubai Hub,417,Dubai,Contractor,Retail,8340,5004.7,3,41.22,11772.08,22.2
1/4/2024,Abu Dhabi Main,Line A,Evening,330ml,3382,74,3308,Dubai Hub,1906,Dubai,Company Truck,Subscription,2668.4,1341.6,7,52.13,5105.88,23
1/4/2024,Abu Dhabi Main,Line A,Evening,500ml,3747,76,3671,Khalifa City,2189,Dubai,Company Truck,Online,3940.2,1977.7,8,72.76,5576.06,20.7
1/4/2024,Abu Dhabi Main,Line A,Night,5 Gallon,970,8,962,Dubai Hub,509,Abu Dhabi,Company Truck,Retail,10180,6108.8,7,31.42,14542.37,22.9
1/4/2024,Abu Dhabi Main,Line A,Night,330ml,2063,52,2011,Dubai Hub,1147,Abu Dhabi,Third-party Logistics,Retail,1605.8,808.1,7,57.94,3082.25,22.9
1/4/2024,Abu Dhabi Main,Line A,Night,500ml,3337,98,3239,Mussafah,1862,Other UAE,Company Truck,Wholesale,3351.6,1685.6,11,63.71,4993.43,21
1/4/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,678,6,672,Mussafah,361,Abu Dhabi,Company Truck,Wholesale,7220,4332.6,6,31.76,10187.2,23
1/4/2024,Abu Dhabi Main,Line B,Morning,330ml,2123,30,2093,Mussafah,1201,Abu Dhabi,Third-party Logistics,Retail,1681.4,843.7,13,59.12,3192.11,22.7
1/4/2024,Abu Dhabi Main,Line B,Morning,500ml,3231,68,3163,Khalifa City,1841,Dubai,Company Truck,Retail,3313.8,1663.7,8,83.51,4890.66,23.6
1/4/2024,Abu Dhabi Main,Line B,Evening,5 Gallon,858,6,852,Dubai Hub,464,Abu Dhabi,Company Truck,Online,9280,5568.6,3,28.67,12866.3,20.4
1/4/2024,Abu Dhabi Main,Line B,Evening,330ml,3756,55,3701,Mussafah,2198,Sharjah,Third-party Logistics,Retail,3077.2,1544.1,8,84.1,5603.05,20.5
